activityId,processId,templateId,displayName,description,taskId,conditionalGroupName,conditionalGroupOption,diagram_x,diagram_y,schematic_x,schematic_y,createdDateTime,lastUpdatedDateTime,status,progress,plannedStartDateTime,plannedCompleteDateTime,predictedStartDateTime,predictedCompleteDateTime,actualStartDateTime,actualCompleteDateTime,actualDuration,typicalDuration,maximumDuration,slaViolation,slaViolationDateTime,application,applicationCode,applicationMessage,isError,hadError,errorCode,errorMessage,value,milestoneId,releasePolicy,action,plannedActivationDateTime,plannedReleaseDateTime,predictedActivationDateTime,predictedReleaseDateTime,actualActivationDateTime,actualReleaseDateTime,activated,released,sequence,initialMilestoneId,terminalMilestoneId,errorCount,transitionId,initialActivityId,terminalActivityId,processObjectType,uniqueId
InboundInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Inbound Invoice,Inbound Invoice description,,,,50,100,50,50,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,Completed,On Time,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,10000,10000,20000,false,,,,,false,false,,,14090.81,,,,,,,,,,,,,,,,,,,Activity,Activity-InboundInvoice
SignDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Sign Document,Sign Document description,DocumentHandler,,,50,300,250,50,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:49.688+0100,Completed,On Time,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:49.688+0100,3000,3000,6000,false,,,,,false,false,,,14090.81,,,,,,,,,,,,,,,,,,,Activity,Activity-SignDocument
SendToPartner,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Send to Partner,Send to Partner description,,,,450,300,450,50,2023-10-17 16:37:34.688+0100,2023-10-17 16:38:03.688+0100,Completed,On Time,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:38:03.688+0100,8000,8000,16000,false,,BusinessConnect,BC-0,BC Complete,false,false,,,14090.81,,,,,,,,,,,,,,,,,,,Activity,Activity-SendToPartner
ValidateInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Validate Invoice,Validate Invoice description,,,,250,100,150,50,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:46.688+0100,Completed,On Time,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:46.688+0100,2000,2000,4000,false,,,,,false,false,,,14090.81,,,,,,,,,,,,,,,,,,,Activity,Activity-ValidateInvoice
BackupDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Backup Document,Backup Document description,DocumentHandler,,,250,300,350,50,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:55.688+0100,Completed,On Time,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:55.688+0100,6000,6000,12000,false,,,,,false,false,,,14090.81,,,,,,,,,,,,,,,,,,,Activity,Activity-BackupDocument
ValidateInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:46.688+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,2023-10-17 16:37:46.688+0100,true,true,,,,,,,,Milestone,Activity-ValidateInvoice|Milestone-End
BackupDocument,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:49.688+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,2023-10-17 16:37:49.688+0100,true,true,,,,,,,,Milestone,Activity-BackupDocument|Milestone-Start
InboundInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:34.688+0100,true,true,,,,,,,,Milestone,Activity-InboundInvoice|Milestone-Start
InboundInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,true,true,,,,,,,,Milestone,Activity-InboundInvoice|Milestone-End
SendToPartner,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,End,End description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:38:03.688+0100,Released,,,,,,,,,,,,,,,,,,,,,End,,,2023-10-17 16:38:03.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:38:03.688+0100,2023-10-17 16:38:03.688+0100,true,true,,,,,,,,Milestone,Activity-SendToPartner|Milestone-End
ValidateInvoice,5c36102e-5c8e-4e1b-b095-2605d047f7aa,BasicTemplate_1.0,Start,Start description,,,,,,,,2023-10-17 16:37:34.688+0100,2023-10-17 16:37:44.688+0100,Released,,,,,,,,,,,,,,,,,,,,,Start,,,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,2023-10-17 16:37:44.688+0100,true,true,,,,,,,,Milestone,Activity-ValidateInvoice|Milestone-Start
